"Jun 19, 2024,K1 0 24 004,Roller sliding,""pintu toilet seret,"",""sudah diperbaiki dengan seting ulang roler pintu, hasil baik (close)"",1,-"
"Jun 19, 2024,K3 0 24 015,Roller sliding,Temuan pintu toilet pria seret saat dibuka tutup,TL pengencangan baut roller yg kendur lalu di modif diksih ganjelan pda rel pintu toilet pria agar berfungsi normal tidak seret (Close),1,-"
"Jun 18, 2024,K1 0 23 052,Roller sliding,pintu toilet pria seret,dilakukan seting ulang roler pintu hasil baik (close),1,-"
"Jun 18, 2024,K3 0 24 011,Roller sliding,Pintu toilet pria tidak mau mengunci,TL setting pada roller pintu. Hasil pintu sudah bisa mengunci (Close),1,-"
"Jun 17, 2024,K1 0 24 009,Roller sliding,Temuan saat di lintas pintu toilet pria sulit mengunci,""TDL engsel pintu tidak pas dengan lubangnya, sudah dilakukan perbaikan dengan menyeting roler pintu dan hasil baik (Close)"",1,-"
"Jun 17, 2024,K1 0 24 008,Roller sliding,Temuan saat dilintas pintu toilet pria sulit mengunci,""sudah dilakukan perbaikan dengan seting ulang roler pintu, hasil pintu dpt mengunci, sbg catatan stang kunci slot masih menggunan baut (Close)"",1,-"
"Jun 16, 2024,K1 0 23 006,Roller sliding,""Temuan pintu lavatory pria anljok, tdl di ketahui roda sliding rel gantung pada mur dan rel sudah dol/selek pada ulir"",""sudah di lakukan pergantian part baru, hasil kondisi normal. (close)"",1,https://drive.google.com/open?id=1RqSHicQJNiry0FJttSmvkTVRE-3x-JLi"
"Jun 15, 2024,K3 0 24 019,Roller sliding,""Locking pintu pada toilet pria tidak bisa mengunci,"",""dilakukan setting pada roller pintu, dengan hasil pintu sudah bisa mengunci"",1,https://drive.google.com/open?id=1PhPOct1jjuKzEnJZPZUKjWH1G-Zx3IR5"
"Jun 15, 2024,K3 0 24 006,Roller sliding,Roller pintu toilet hilang. Yang menyebabkan pintu seret tidak bisa dibuka tutup dengan lancar,Pemasangan roller baru dan setting ketinggian,1,https://drive.google.com/open?id=1mkiRF3_KwK1UTjzx05EXtZewYE2CKCuc"
"Jun 14, 2024,K1 0 24 006,Roller sliding,""Temuan pintu lavatory pria anjlok, ditemukan ulir pada roller aus."",Dilakukan penggantian roller pintu toilet pria,1,https://drive.google.com/open?id=15Io9Fz-0yzlLTBKDWvo9HNMPVLvDKY_b"
"Jun 6, 2024,K1 0 24 006,Roller sliding,Temuan Roller pintu lavatory wanita Kendur sehingga pintu seret,tdl di lakukan pemasangan mur dengan roller hasil pintu lavatory berfungsi normal/tidak seret,1,-"
"Jun 4, 2024,K1 0 23 034,Roller sliding,""temuan lintas pintu toilet pria tidak bisa di tutup, indikasi baut roller aus"",tdl melakukan pemasangan kembali baut roller,1,-"
"Jun 1, 2024,K1 0 23 026,Roller sliding,Temuan Lintas toilet pria pintu susah di tutup dikarenakan dudukan drat roller aus,TDL dilakukan diberi sealtep pda baut roller dan di modif agar pintu sempurna saat di buka maupun di tutup,1,-"
"May 31, 2024,K3 0 24 003,Roller sliding,Temuan baut rel Roller lavatory wanita kendor,TL pengencangan kmbali pda baut yg kendur (Close),1,-"
"May 29, 2024,K1 0 23 058,Roller sliding,""temuan lintas pintu toilet pria susah di tutup, indikasi baut roller ke pintu kendor"",tdl melakukan pengencangan kembali baut yg kendor,1,-"
