"May 14, 2024,K1 0 24 010,Filter strainer,Temuan lintas toilet pria kurang kencang air nya,TDL pembersihan filter strainer hasil air mengalir baik (Close),1,-"
"May 13, 2024,K1 0 24 018,Filter strainer,""aliran air pada toilet pria kecil,"",Dilakukan pembersihan pada filter strener,1,https://drive.google.com/open?id=14t79wrG9Q-iOYz9COL-X7tgXXtCYHcnK"
"May 10, 2024,K1 0 23 001,Filter strainer,Temuan pada lavatory 1 air wastafel air mengalir kecil,di lakukan pembersihan hasil air mengalir normal. (close),1,-"
"May 8, 2024,K1 0 23 054,Filter strainer,Temuan toilet pria air tdk mengalir,""TDL dilakukan pembersihan filter strainer,air mengalir normal (close)"",1,-"
"May 7, 2024,K3 0 24 017,Filter strainer,Air toilet pria mengalir kecil,Tindak lanjut dilakukan pembersihan filter strainer dengan hasil air sudah mengalir normal.,1,https://drive.google.com/open?id=1A_nrH57ndDY8m53Wc5ixY2V4g23RXJny"
"Apr 27, 2024,K1 0 23 059,Filter strainer,""Temuan air wastafel tidak mengalir toilet wanita. indikasi filter strainer kotor belum melakukan TL dikarenakan kreta sdh langsir (open)"",""TDL dilakukan pembersihan filter strainer,"",1,-"
"Apr 25, 2024,K1 0 23 057,Filter strainer,air kran wastafel mengalir pelan,pembersihan filter strainer,1,https://drive.google.com/open?id=1590pGuJj3_y7zMcUO_Ilhozt3crKnQ6V"
"Apr 20, 2024,K1 0 23 060,Filter strainer,Aliran air pada toilet pria menggalir kecil,""TDL dilakukan pembersihan filter strainer. hasil air mengalir normal"",1,-"
"Apr 19, 2024,K1 0 23 048,Filter strainer,?Air toilet pria mengalir pelan,TDL pembersihan filter strainer (Close),1,-"
"Apr 19, 2024,K1 0 23 047,Filter strainer,Air toilet pria mengalir pelan,TDL pembersihan filter strainer (Close),1,-"
"Apr 19, 2024,K1 0 24 009,Filter strainer,""Temuan lavatory wanita air mengalir sedikit, sudah di lakukan pengecekan boster, normal, apung"""" normal, indikasi filter stainer kotor (open)"",tdl sesampainya di jakk melakukan pembersihan di area filter strainer (close),1,-"
"Apr 18, 2024,K1 0 23 045,Filter strainer,Air toilet Male kecil pompa bekerja,TDL pembersihan filter strainer (Close),1,-"
